,Pais,Tipo,Bodegas,Nombre y año,Región,Rating,Valoraciones,Precio,Año
100,Italia,Tinto,Allegrini,Amarone della Valpolicella Classico 2018,Amarone della Valpolicella Classico ,4.4,596,72.0,2018
101,Italia,Tinto,La Spinetta,Vürsù Barolo Campè 2011,Barolo ,4.4,411,163.3,2011
102,Italia,Tinto,Marisa Cuomo,Fiorduva Costa d'Amalfi 2019,Costa d'Amalfi ,4.4,390,66.8,2019
103,Italia,Tinto,Gaja,Dagromis Barolo 2018,Barolo ,4.4,365,95.51,2018
104,Italia,Tinto,Ca' del Bosco,Dosage Zéro Franciacorta (Vintage Collection) 2017,Franciacorta ,4.4,238,63.9,2017
105,Italia,Tinto,Trullo di Pezza,Licurti Primitivo di Manduria 2018,Primitivo di Manduria ,4.4,224,14.86,2018
106,Italia,Tinto,Giovanni Rosso,Barolo Cerretta 2017,Barolo ,4.4,140,65.0,2017
107,Italia,Tinto,Pelissero,Barbaresco Vanotu 2015,Barbaresco ,4.4,134,162.65,2015
108,Italia,Tinto,Gaja,Ca'Marcanda Bolgheri 2017,Bolgheri ,4.4,126,140.51,2017
109,Italia,Tinto,Le Macchiole,Messorio 2018,Toscana ,4.4,103,204.25,2018
110,Italia,Tinto,E. Pira & Figli,Mosconi Barolo 2017,Barolo ,4.4,96,105.35,2017
111,Italia,Tinto,Hauner,Malvasia delle Lipari Passito 2017,Malvasia delle Lipari ,4.4,95,55.05,2017
112,Italia,Tinto,Gaja,Pieve Santa Restituta Rennina Brunello di Montalcino 2016,Brunello di Montalcino ,4.4,94,190.2,2016
113,Italia,Tinto,Vietti,Barolo Lazzarito 2017,Barolo ,4.4,88,150.0,2017
114,Italia,Tinto,Val di Suga,Brunello di Montalcino Vigna del Lago 2013,Brunello di Montalcino ,4.4,80,59.35,2013
115,Italia,Tinto,Vietti,Barolo Brunate 2017,Barolo ,4.4,51,173.5,2017
116,Italia,Tinto,Pio Cesare,Il Bricco Barbaresco 2017,Barbaresco ,4.4,49,105.6,2017
117,Italia,Tinto,Poggio Antico,Brunello di Montalcino Riserva 2015,Brunello di Montalcino ,4.4,48,124.45,2015
118,Italia,Tinto,Pio Cesare,Mosconi Barolo 2018,Barolo ,4.4,39,132.0,2018
119,Italia,Tinto,Tenuta Sant'Antonio,Campo dei Gigli Amarone della Valpolicella 2017,Amarone della Valpolicella ,4.4,37,67.2,2017
120,Italia,Tinto,Livio Felluga,Abbazia di Rosazzo 2019,Friuli-Venezia Giulia ,4.4,33,69.71,2019
121,Italia,Tinto,Castello Giulio,Brunello di Montalcino 2017,Brunello di Montalcino ,4.4,25,24.95,2017
122,Italia,Tinto,Farnese,Edizione Cinque Autoctoni N.V.,Abruzos ,4.3,63661,18.9,N.V.
123,Italia,Tinto,San Marzano,Cinquanta Collezione N.V.,Vino d'Italia ,4.3,36336,18.99,N.V.
124,Italia,Tinto,Villa Degli Olmi,Corte dei Rovi Prosecco N.V.,Prosecco ,4.3,12767,9.9,N.V.
125,Italia,Tinto,Tenuta CastelGiocondo,Brunello di Montalcino 2015,Brunello di Montalcino ,4.3,4677,107.45,2015
