"Id","img","Bodegas","Nombre y año","Región","Rating","Valoraciones","Precio"
"https://www.vivino.com/ES/es/pt-anselmo-mendes-expressoes/w/3116929?year=2019&price_id=31800513","https://images.vivino.com/thumbs/b_MmPIJ9ST2IcNX5JXwr0Q_pb_x300.png","Anselmo Mendes","Expressoes 2019","Monção e Melgaço, Portugal","4,2","25 valoraciones","24"
"https://www.vivino.com/ES/es/soalheiro-alvarinho/w/1175699?year=2021&price_id=27089177","https://images.vivino.com/thumbs/Ls3ygOKiTJ6G61Kq69xQjg_pb_x300.png","Soalheiro","Alvarinho 2021","Monção e Melgaço, Portugal","4,1","2456 valoraciones","12,85"
"https://www.vivino.com/ES/es/soalheiro-granit-alvarinho/w/4542136?year=2021&price_id=28777972","https://images.vivino.com/thumbs/6Qm2q1zwSF6BNBTSYjtCWA_pb_x300.png","Soalheiro","Granit Alvarinho 2021","Monção e Melgaço, Portugal","4,1","1400 valoraciones","12,77"
"https://www.vivino.com/ES/es/soalheiro-primeiras-vinhas-alvarinho/w/1178394?year=2021&price_id=29557628","https://images.vivino.com/thumbs/4ZI3QNhNQNSygANTpR8pHA_pb_x300.png","Soalheiro","Primeiras Vinhas Alvarinho 2021","Monção e Melgaço, Portugal","4,1","465 valoraciones","16,84"
"https://www.vivino.com/ES/es/quinta-da-alorna-marquesa-de-alorna-grande-reserva-branco/w/1285871?year=2013&price_id=31604934","https://images.vivino.com/thumbs/bDzf0smHSrK2KxKOYCOHuw_pb_x300.png","Quinta da Alorna","Marquesa de Alorna Grande Reserva Branco 2013","Tejo, Portugal","4,1","375 valoraciones","31,99"
"https://www.vivino.com/ES/es/soalheiro-terramatter-alvarinho/w/4075219?year=2019&price_id=25909311","https://images.vivino.com/thumbs/93_Uhy6qRnq_u1pcDaKIew_pb_x300.png","Soalheiro","Terramatter Alvarinho 2019","Monção e Melgaço, Portugal","4,1","355 valoraciones","16,72"
"https://www.vivino.com/ES/es/quinta-do-crasto-crasto-superior-branco/w/1155012?year=2020&price_id=28415104","https://images.vivino.com/thumbs/2B1-Orx0QRmTM420tnS7iA_pb_x300.png","Quinta do Crasto","Crasto Superior Branco 2020","Douro, Portugal","4,1","288 valoraciones","13,67"
"https://www.vivino.com/ES/es/ramos-pinto-douro-duas-quintas-branco/w/1775417?year=2021&price_id=30946230","https://images.vivino.com/thumbs/hu8EyHBtQIOGKWbS-hoRXA_pb_x300.png","Ramos Pinto","Douro Duas Quintas Branco 2021","Douro, Portugal","4,1","256 valoraciones","12,30"
"https://www.vivino.com/ES/es/dom-ponciano-alvarinho/w/1954087?year=2018&price_id=31604939","https://images.vivino.com/thumbs/K2Ft7XHqTAa6ErlLQhyHfw_pb_x300.png","Dom Ponciano","Alvarinho 2018","Monção e Melgaço, Portugal","4,1","99 valoraciones","17,99"
"https://www.vivino.com/ES/es/fafide-reserva-branco/w/3985269?year=2020&price_id=31604902","https://images.vivino.com/thumbs/_tlnVnuRQNOIpiwH8knenQ_pb_x300.png","Fafide","Reserva Branco 2020","Douro, Portugal","4,1","97 valoraciones","16,99"
