"Id","Imagen","Bodegas","Nombre y año","Región","Rating","Valoraciones","Precio"
"https://www.vivino.com/ES/es/poggio-al-tesoro-solosole-vermentino/w/1449368?year=2020&price_id=28624837","","Poggio Al Tesoro","Solosole Vermentino 2020","Bolgheri, Italia","4,1","743 valoraciones","19,90"
"https://www.vivino.com/ES/es/j-hofstatter-joseph-gewurztraminer/w/2470268?year=2020&price_id=27727090","","J. Hofstätter","Joseph Gewürztraminer 2020","Südtirol - Alto Adige, Italia","4,1","698 valoraciones","22,94"
"https://www.vivino.com/ES/es/cabreo-la-pietra-chardonnay/w/1101192?year=2018&price_id=31164720","","Cabreo","La Pietra Chardonnay 2018","Toscana, Italia","4,1","555 valoraciones","36,55"
"https://www.vivino.com/ES/es/livio-felluga-colli-orientali-del-friuli-sauvignon/w/15099?year=2020&price_id=25109642","","Livio Felluga","Sauvignon 2020","Colli Orientali del Friuli, Italia","4,1","463 valoraciones","24,80"
"https://www.vivino.com/ES/es/it-la-tunella-sauvignon/w/1715496?year=2021&price_id=29875070","","La Tunella","Sauvignon 2021","Colli Orientali del Friuli, Italia","4,1","428 valoraciones","15,90"
"https://www.vivino.com/ES/es/vie-di-romans-vineyards-flors-di-uis/w/1084876?year=2017&price_id=27695785","","Vie di Romans","Flors di Uis 2017","Friuli Isonzo, Italia","4,1","318 valoraciones","26,37"
"https://www.vivino.com/ES/es/fina-taif/w/1519899?year=2021&price_id=28938148","","Fina","Taif 2021","Terre Siciliane, Italia","4,1","215 valoraciones","10,90"
"https://www.vivino.com/ES/es/albino-armani-viticoltori-dal-1607-pinot-grigio-friuli-grave/w/1379216?year=2021&price_id=28791970","","Albino Armani","Pinot Grigio Friuli Grave 2021","Friuli Grave, Italia","4,1","193 valoraciones","9,70"
"https://www.vivino.com/ES/es/it-damijan-podversic-kaplja/w/1445969?year=2017&price_id=26348455","","Damijan Podversic","Kaplja 2017","Friuli-Venezia Giulia, Italia","4,1","95 valoraciones","35,50"
"https://www.vivino.com/ES/es/il-colombaio-di-santachiara-campo-della-pieve-vernaccia-di-san-gimignano/w/1415244?year=2019&price_id=27227982","","Il Colombaio di Santachiara","Campo della Pieve Vernaccia di San Gimignano 2019","Vernaccia di San Gimignano, Italia","4,1","84 valoraciones","27,30"
"https://www.vivino.com/ES/es/cascina-degli-ulivi-ivag-bianco-piedmont/w/6500420?year=2020&price_id=32050715","","Cascina Degli Ulivi","Ivag Bianco 2020","Piamonte, Italia","4,1","84 valoraciones","22,30"
